id,type,rule_name,condition_type,condition_value,affected_field,adjustment_action,adjustment_value,applies_to_task_ids,applies_to_model_families,confidence,notes,evidence_ids
rule_qwen3_6_inference_reduce_context_on_oom,AdjustmentRule,Reduce Qwen3.6 context length only when OOM requires it,HardwareConstraint,OOM,max_model_len,decrease,"Default native context is 262144; reduce if OOM occurs, but keep at least 128K when possible to preserve thinking capabilities.",visual_question_answering,Qwen3.6,High,Official Qwen3.6 model card recommends reducing context on OOM but maintaining at least 128K tokens where possible.,evidence_qwen3_6_35b_a3b_hf
rule_qwen3_6_serve_with_tensor_parallel_8,AdjustmentRule,Use 8-way tensor parallel serving for Qwen3.6 full context,DeploymentConstraint,FullContextServing,tensor_parallel_size,set,8,visual_question_answering,Qwen3.6,High,Official Qwen3.6 model card gives SGLang and vLLM serving commands with tensor-parallel size 8 for 262144-token context.,evidence_qwen3_6_35b_a3b_hf
rule_qwen3_vl_moe_avoid_zero3,AdjustmentRule,Avoid ZeRO-3 for Qwen3-VL MoE fine-tuning,ModelArchitecture,MoE,deepspeed,avoid,Do not use DeepSpeed ZeRO-3 for Qwen3-VL MoE models; validate alternative distributed training support.,visual_question_answering,Qwen3-VL,High,Official Qwen VL fine-tuning README states Qwen3VL MoE does not support DeepSpeed with ZeRO-3 and load-balancing loss is not supported in the Hugging Face implementation at that time.,evidence_qwen_vl_finetune_repo
rule_domain_autonomous_driving_realtime_detector,AdjustmentRule,Prefer real-time detectors for autonomous-driving street scenes,application_domain,domain_street_autonomous_driving,model_family,prefer,YOLOv10|YOLO11|RT-DETR,object_detection,YOLOv10|YOLO11|RT-DETR,Medium,"BDD100K and Cityscapes establish street/autonomous-driving imagery as diverse urban perception data; YOLO and RT-DETR model evidence should be used to choose the exact latency/accuracy tradeoff.",evidence_bdd100k_paper|evidence_cityscapes_paper|evidence_ultralytics_yolov10_docs|evidence_ultralytics_yolo11_docs|evidence_rtdetr_paper
rule_domain_autonomous_driving_dataset_alignment,AdjustmentRule,Use driving-domain datasets for street-scene model selection,application_domain,domain_street_autonomous_driving,dataset_id,prefer,bdd_100k|cityscapes,object_detection|image_classification,,High,BDD100K and Cityscapes are direct representative datasets for driving and urban street-scene perception.,evidence_bdd100k_paper|evidence_cityscapes_paper
rule_domain_general_objects_performance_first,AdjustmentRule,Let performance and hardware dominate for general everyday objects,application_domain,domain_general_everyday_objects,selection_priority,prefer,Use task metric performance hardware and user constraints before domain-specific overrides.,object_detection|image_classification,,Medium,COCO and ImageNet establish broad common-object and visual-recognition settings; this domain is intentionally generic rather than specialized.,evidence_coco_paper|evidence_imagenet_paper
rule_domain_traffic_surveillance_video_detector,AdjustmentRule,Prefer efficient video-friendly detectors for traffic surveillance,application_domain,domain_traffic_surveillance,model_family,prefer,YOLOv10|YOLO11,object_detection,YOLOv10|YOLO11,Medium,UA-DETRAC establishes real-world traffic video detection and tracking as the domain context; YOLO evidence should be used to select a speed-oriented detector variant.,evidence_ua_detrac_paper|evidence_ultralytics_yolov10_docs|evidence_ultralytics_yolo11_docs
rule_domain_traffic_surveillance_offline_accuracy_detector,AdjustmentRule,Consider stronger detectors for offline traffic surveillance analysis,application_domain,domain_traffic_surveillance,model_family,consider,RT-DETR|Faster R-CNN,object_detection,RT-DETR|Faster R-CNN,Medium,UA-DETRAC establishes vehicle detection/tracking in traffic surveillance; RT-DETR and Faster R-CNN evidence support higher-accuracy detector options when real-time latency is not the primary constraint.,evidence_ua_detrac_paper|evidence_rtdetr_paper|evidence_torchvision_fasterrcnn_docs
rule_domain_fine_grained_wildlife_stronger_classifier,AdjustmentRule,Prefer stronger transfer-learning classifiers for fine-grained wildlife and nature,application_domain,domain_fine_grained_wildlife_nature,model_family,prefer,SwinV2|ViT-B-16|DINOv2|EfficientNet,image_classification,SwinV2|ViT-B-16|DINOv2|EfficientNet,Medium,iNaturalist and CUB establish visually similar species and fine-grained categories as core domain properties; model-family evidence should be used to choose capacity under hardware limits.,evidence_inaturalist_paper|evidence_cub200_2011_dataset|evidence_swin_v2_paper|evidence_vit_paper|evidence_dinov2_paper|evidence_efficientnet_paper
rule_domain_fine_grained_wildlife_handle_long_tail,AdjustmentRule,Account for imbalance and low-shot classes in wildlife nature datasets,application_domain,domain_fine_grained_wildlife_nature,dataset_property,flag,ClassImbalance|LowShotClasses,image_classification|object_detection,,High,iNaturalist directly reports long-tail class imbalance varied image quality and poor performance on classes with small numbers of training examples.,evidence_inaturalist_paper
rule_domain_fine_grained_vehicles_stronger_classifier,AdjustmentRule,Prefer fine-grained-capable classifiers for vehicle make-model recognition,application_domain,domain_fine_grained_vehicles,model_family,prefer,SwinV2|ViT-B-16|DINOv2|EfficientNet,image_classification,SwinV2|ViT-B-16|DINOv2|EfficientNet,Medium,Stanford Cars and fine-grained vehicle evaluation evidence establish make-model-year recognition with subtle visual differences; choose architecture capacity according to hardware and data size.,evidence_stanford_cars_dataset|evidence_fine_grained_vehicle_eval|evidence_swin_v2_paper|evidence_vit_paper|evidence_dinov2_paper|evidence_efficientnet_paper
rule_domain_ecommerce_clean_catalog_efficient_classifier,AdjustmentRule,Use efficient classifiers for clean e-commerce catalog images,application_domain,domain_ecommerce_retail,model_family,consider,EfficientNet|MobileNetV3|ResNet,image_classification,EfficientNet|MobileNetV3|ResNet,Medium,DeepFashion2 establishes retail fashion recognition tasks while EfficientNet MobileNetV3 and ResNet evidence support practical classifier choices with different efficiency/accuracy tradeoffs.,evidence_deepfashion2_paper|evidence_efficientnet_paper|evidence_mobilenetv3_paper|evidence_resnet_paper
rule_domain_ecommerce_shelf_detection_dense_objects,AdjustmentRule,Prefer dense-scene detectors for retail shelf or cluttered product scenes,application_domain,domain_ecommerce_retail,model_family,prefer,YOLO11|RT-DETR|Faster R-CNN,object_detection,YOLO11|RT-DETR|Faster R-CNN,Medium,DeepFashion2 documents real-world clothing-item annotations with scale viewpoint and occlusion variation; detector-family evidence supports choosing speed or accuracy according to deployment constraints.,evidence_deepfashion2_paper|evidence_ultralytics_yolo11_docs|evidence_rtdetr_paper|evidence_torchvision_fasterrcnn_docs
rule_domain_handwritten_documents_prefer_ocr_vqa_when_reading,AdjustmentRule,Prefer OCR or VQA framing for handwritten document reading tasks,application_domain,domain_handwritten_documents,task,prefer,visual_question_answering,visual_question_answering,,Medium,IAM establishes offline handwritten text recognition as document/text recognition data; Qwen VL evidence supports document/OCR-capable VLM use when the requested output is reading or answering document questions.,evidence_iam_handwriting_database|evidence_qwen2_5_vl_report
rule_domain_handwritten_documents_avoid_label_changing_geometry,AdjustmentRule,Avoid label-changing geometry augmentations for handwritten digits and text,application_domain,domain_handwritten_documents,augmentation,avoid,large_rotation|vertical_flip|unconstrained_horizontal_flip,image_classification|visual_question_answering,,High,MNIST and IAM establish handwritten characters/text as recognition targets where character orientation and shape encode labels; use conservative geometry transforms only when validation confirms invariance.,evidence_mnist_database|evidence_iam_handwriting_database
